genre_mode_primary,genre,story_zone,method,mean_sentiment_primary,ci_low_primary,ci_high_primary,n_films_primary,genre_mode_multi,mean_sentiment_multi,ci_low_multi,ci_high_multi,n_films_multi,multi_minus_primary
primary,Crime,Opening,Full dialogue,0.17701821547365146,0.06582496755031346,0.2877564475963082,32,multi_label,0.13225812257409694,0.06923557820249543,0.1935679766948415,112,-0.044760092899554516
primary,Crime,Inciting conflict,Full dialogue,0.08148899596394168,-0.013784970151473862,0.17770492510514094,31,multi_label,0.06287407521866561,0.003993805153053126,0.11905284071722952,112,-0.01861492074527607
primary,Crime,Escalation,Full dialogue,0.08495642572740716,-0.01297236860365393,0.18501824143846143,32,multi_label,0.07558652316021951,0.021072223250720862,0.13351050099392361,116,-0.009369902567187657
primary,Crime,Climax zone,Full dialogue,-0.031225216895230407,-0.10417443628764335,0.04371412150156998,32,multi_label,-0.022272220772198082,-0.0832900066804857,0.039168535609877764,116,0.008952996123032325
primary,Crime,Resolution,Full dialogue,0.07430301604176409,-0.06615921157188184,0.21229856916718753,36,multi_label,-0.013901191233370403,-0.09914766250992481,0.0663240999195349,123,-0.08820420727513449
primary,Drama,Opening,Full dialogue,0.24704590278544783,0.1905975748186659,0.30112271679129077,104,multi_label,0.22387183838120467,0.18209149063132307,0.2640047690290503,233,-0.02317406440424316
primary,Drama,Inciting conflict,Full dialogue,0.18513560192729248,0.12118130068443196,0.24233823531796642,109,multi_label,0.19138683132274062,0.1513708244809267,0.23235730379250003,237,0.0062512293954481435
primary,Drama,Escalation,Full dialogue,0.1767118944291298,0.12408653813934938,0.22779876209753938,109,multi_label,0.1595705774691251,0.11730528015419132,0.1971134461935387,242,-0.017141316960004704
primary,Drama,Climax zone,Full dialogue,0.14781644517488932,0.08905853762276032,0.20789833116757125,109,multi_label,0.1365387815407076,0.09316449002645637,0.17807765071120105,241,-0.011277663634181728
primary,Drama,Resolution,Full dialogue,0.2360471809335888,0.15698934329476727,0.32134976199613646,120,multi_label,0.20905082821305251,0.15518231941227012,0.26616113343865644,256,-0.0269963527205363
primary,Family,Opening,Full dialogue,0.12541089743589745,-0.28731666666666666,0.5381384615384616,2,multi_label,0.1468066160691161,-0.04073496882515632,0.32099615392593517,18,0.021395718633218652
primary,Family,Inciting conflict,Full dialogue,-0.0855301282051282,-0.31348333333333334,0.14242307692307693,2,multi_label,0.05273029463727992,-0.11698621762322194,0.2137687268462745,18,0.13826042284240814
primary,Family,Escalation,Full dialogue,-0.020497350543478288,-0.29514782608695656,0.254153125,2,multi_label,0.12720584452024253,0.008399814524266542,0.24524810251214002,18,0.14770319506372082
primary,Family,Climax zone,Full dialogue,-0.22853055555555554,-0.5122,0.05513888888888889,2,multi_label,0.07584428757094722,-0.0461601393264967,0.20461017214913718,18,0.30437484312650276
primary,Family,Resolution,Full dialogue,0.05331666666666671,-0.3626,0.4692333333333334,2,multi_label,0.22462014961646543,0.0820624071352624,0.3662694382547276,19,0.17130348294979872
primary,Fantasy,Opening,Full dialogue,0.07234419460864948,-0.15107464847847954,0.31006261338992563,14,multi_label,0.07673858199300242,-0.0398337326336664,0.191413457905564,43,0.004394387384352938
